msa_name,trend_coef_Jobs,average_value_Jobs,pct_coef_Jobs,average_pct_Jobs,trend_coef_Price,average_value_Price,pct_coef_Price,average_pct_Price,trend_coef_Rent,average_value_Rent,pct_coef_Rent,average_pct_Rent,normalized_trend_coef_Jobs,normalized_pct_coef_Jobs,normalized_average_pct_Jobs,Jobs_weight,normalized_trend_coef_Price,normalized_pct_coef_Price,normalized_average_pct_Price,Price_weight,normalized_trend_coef_Rent,normalized_pct_coef_Rent,normalized_average_pct_Rent,Rent_weight,total_weight,avg_insurance,prop_tax,Jobs,Rent,Price,rent_price_ratio,rank
"St. George, UT",8.989171554922365,271.8181818181818,-4.7187035743649887e-07,0.003981104792564301,107.69086138733115,2676.960209751195,-4.556215205382928e-07,0.007493232996020026,0.2598641623155186,6.924548734037178,-4.936754044807096e-07,0.004971856379922279,0.07506880076273688,0.16237039542922957,1.0,4.0,0.42442501717797926,0.3057240729200072,0.8393608829525787,0.8393608829525787,0.4605503391342406,0.23227171905243202,0.47793104546183407,0.9558620909236681,5.795222973876247,2876.0,0.0063,86000.0,1807.457396546106,530832.6397814313,0.0034049477388774004,1
"Boise City, ID",34.20472189747433,1026.3636363636363,-1.7615708054547025e-07,0.003081291010663148,111.94517458720823,2609.964359740686,-1.728011551833725e-06,0.008486010334045396,0.30699271896285985,7.911836905060723,-4.281341792883231e-07,0.006200794321415206,0.1691390799447775,0.29724706114795557,0.7966346795839567,3.186538718335827,0.442491314982689,0.1280188706489262,0.9729710365936399,0.9729710365936399,0.5587708581041035,0.24632769422344908,0.64182406727553,1.28364813455106,5.443157889480526,3427.0,0.0069,401000.0,1767.2558330855388,479768.3557259431,0.0036835606433681593,2
"Idaho Falls, ID",6.80290833806242,206.36363636363637,-8.252034049298344e-09,0.0029601754910353025,88.12012919432071,2090.654881353516,-1.0472403004261357e-06,0.008294144570987903,0.2096774228467868,5.447652138192127,7.826371248210038e-07,0.006269911421389556,0.06691262775118138,0.37382959767402646,0.7692615753351731,3.0770463013406926,0.34131626155900796,0.22309710134565305,0.9471493209896562,0.9471493209896562,0.3559562682207144,0.5059897822967973,0.6510416282209055,1.302083256441811,5.326278878772159,3427.0,0.0069,82800.0,1208.5668276972624,389177.5129883968,0.003105438488511271,3
"Provo, UT",28.74521061640248,869.0909090909091,-8.278628595243027e-07,0.0033435382824929367,103.5048449643788,2615.8447410935737,-1.2600028614379767e-06,0.007144858471488153,0.2365402931031454,6.561524678151601,6.61498163232503e-07,0.004795334411959065,0.14877157880238714,0.0,0.8559047213821793,3.4236188855287173,0.4066487473644055,0.19338214523126987,0.7924758746385133,0.7924758746385133,0.4119411157377556,0.48001031317133236,0.4543898089443528,0.9087796178887056,5.124874378055936,2876.0,0.0063,314400.0,1768.9060218748973,534679.7351486211,0.0033083468581116262,4
"Naples, FL",10.648922419129159,374.54545454545456,4.489355467176891e-08,0.002727317914432138,97.39463278216682,2902.609598212411,1.893724702059337e-06,0.0067392982761152066,0.48861695395439614,13.44585869684719,1.9310607109870323e-06,0.00665377018449731,0.08126074284004649,0.39806963139763146,0.7166338465431641,2.8665353861726564,0.38070121888037267,0.633839694249153,0.7378946932003312,0.7378946932003312,0.937293517982325,0.7522807749594609,0.702233613195323,1.404467226390646,5.008897305763633,5854.0,0.0089,173900.0,2869.016148251941,618052.9860826973,0.004642022954109728,5
"Sebastian, FL",2.8168938840933135,95.45454545454545,1.2871126859868016e-08,0.001912250575038845,70.42442195961075,1960.8973369734524,-1.5330487051420235e-07,0.007749148512027332,0.4174540840972923,12.741753697716355,4.91891316684014e-07,0.008886546213616486,0.052042220902445736,0.383464002807342,0.5324219196196245,2.129687678478498,0.26616995668035803,0.3479463790691292,0.8738025549199073,0.8738025549199073,0.7889831408780034,0.4436364184673165,1.0,2.0,5.003490233398406,5854.0,0.0089,59000.0,2263.7619047619046,380245.6375560223,0.005953419792826368,6
"Port St. Lucie, FL",10.816479772981753,353.6363636363636,-3.830580268394157e-08,0.0024218921043008368,78.12674381051298,2227.803412255868,-5.952376748294031e-07,0.008686846435261469,0.40685416981161987,11.196813911632333,8.839851554927553e-07,0.006592102021447777,0.08188583992663748,0.3601218867848178,0.6476050997179627,2.5904203988718506,0.29887851239979674,0.2862249285315901,1.0,1.0,0.7668918833424611,0.5277248871651008,0.6940094537397125,1.388018907479425,4.978439306351276,5854.0,0.0089,173700.0,2400.2609250221826,402978.5067389559,0.005956300112494683,7
"Lakeland, FL",22.064434067760725,650.0,2.636871289956376e-09,0.0027746955021153348,62.254567672506916,1662.1360328217124,1.2235831089052271e-08,0.007983772019072766,0.2919251169265985,8.010190414850133,6.926885300972433e-07,0.005653014905528409,0.12384796989653622,0.3787960951574205,0.7273415712896949,2.9093662851587796,0.2314759852595027,0.37106621114809696,0.905378701577824,0.905378701577824,0.5273685025703394,0.4866994011604386,0.5687713762275458,1.1375427524550916,4.9522877391916955,5854.0,0.0089,276200.0,1910.046259612916,316290.91368588567,0.0060388907077799205,8
"Gainesville, GA",7.007106447966254,255.45454545454547,3.6029029075385207e-07,0.002762461052786048,67.61818099960782,1915.9936099122472,8.340548772348842e-07,0.00738091260231643,0.2751174992510146,7.721845089604579,-1.370857573914322e-07,0.005955050220581772,0.06767441850911232,0.5419240453372409,0.7245764850485091,2.8983059401940365,0.25425301908943204,0.4858435327504092,0.8242445577858387,0.8242445577858387,0.4923397843539917,0.30874595661842197,0.6090512624668888,1.2181025249337776,4.9406530229136525,4006.0,0.0092,109900.0,1779.342958300551,382978.9403111732,0.00464605953751614,9
"Bend, OR",5.613290737251051,210.9090909090909,-7.78101132682706e-07,0.002746667265992039,129.33560135175392,3399.8287219772633,-1.0811034159223635e-06,0.007468149360683051,0.357915205150927,9.791294726119228,-4.553391753205931e-07,0.005922530719961253,0.062474586213006125,0.02269663326369304,0.7210069592460036,2.884027836984014,0.5163412207414743,0.2183676931918816,0.8359850722416738,0.8359850722416738,0.6648982971015336,0.24049330910729128,0.604714412700419,1.209428825400838,4.9294417346265265,3016.0,0.0097,95000.0,2262.361242532856,676139.1873691723,0.0033459992924468754,10
"Cape Coral, FL",18.1539993739398,612.7272727272727,-3.0276200761426635e-07,0.0024325527834761383,69.5858399841762,1929.257186244259,4.959273396626722e-07,0.007022856492759266,0.3730576122294705,10.271063114494815,4.1193473208332043e-07,0.006674719580184243,0.10925952433918883,0.2395017660900868,0.6500145009518015,2.600058003807206,0.2626088479913456,0.43861978768812093,0.7760565805046421,0.7760565805046421,0.6964565536557659,0.4264889244342446,0.705027456275903,1.410054912551806,4.786169496863654,5854.0,0.0089,307800.0,2183.705910664381,399339.0742027342,0.005468300128215776,11
"Reno, NV",16.935473186551498,579.0909090909091,-5.725655392145414e-07,0.0025790748925750033,98.05324637299849,2674.5222236316,-2.3596068764602694e-06,0.0071729523803192845,0.2909809709922595,8.013393785763325,-1.5767289001661797e-06,0.005807936168731184,0.1047136351128566,0.11644269642649525,0.6831297035240138,2.7325188140960552,0.38349807673055114,0.03980867396736401,0.7962568145648531,0.7962568145648531,0.5254008101509006,0.0,0.5894319101017406,1.1788638202034811,4.70763944886439,2707.0,0.006,270100.0,1873.8607412794845,545404.066398491,0.003435729318362612,12
"Palm Bay, FL",16.171683255268533,501.8181818181818,-2.53007145962979e-07,0.0022950969917100218,68.15012799759795,1900.3153892438065,-8.136282807797657e-07,0.008072876405232675,0.32426619929643064,9.146890646815788,-3.1904378211983985e-08,0.006296099351753401,0.10186420564984103,0.26219526809775984,0.6189483607149897,2.475793442859959,0.2565119766298145,0.2557239454603842,0.9173705654821688,0.9173705654821688,0.594770479638763,0.3313031616425873,0.6545340902057339,1.3090681804114679,4.702232188753595,5854.0,0.0089,255800.0,2020.6079150506584,359113.9712520665,0.005626648019306297,13
"Phoenix, AZ",156.87178464322685,5077.272727272727,9.398914558308057e-09,0.0024329274286629585,89.69031101838871,2280.8739500948036,-2.4503198850192523e-07,0.007280745704495511,0.3199167577127039,8.235212888791837,-1.349268820022347e-07,0.0060846655267641344,0.6267664044398885,0.38188030517013877,0.6500991738474522,2.6003966953898088,0.34798417036317747,0.3351355383246791,0.8107638767761163,0.8107638767761163,0.5857058182110966,0.30920894916668157,0.6263369556547226,1.2526739113094452,4.66383448347537,4086.0,0.0066,2444200.0,1864.017828788762,460783.4195333528,0.004045323138311923,14
