msa_name,trend_coef_Price,average_value_Price,pct_coef_Price,average_pct_Price,trend_coef_Jobs,average_value_Jobs,pct_coef_Jobs,average_pct_Jobs,trend_coef_Rent,average_value_Rent,pct_coef_Rent,average_pct_Rent,normalized_trend_coef_Price,normalized_pct_coef_Price,normalized_average_pct_Price,Price_weight,normalized_trend_coef_Jobs,normalized_pct_coef_Jobs,normalized_average_pct_Jobs,Jobs_weight,normalized_trend_coef_Rent,normalized_pct_coef_Rent,normalized_average_pct_Rent,Rent_weight,total_weight,avg_insurance,prop_tax,Jobs,Median Rent,Median Price,rent_price_ratio
"Phoenix, AZ",89.69031101838871,2280.8739500948036,-2.4503198850192523e-07,0.007280745704495511,156.87178464322685,5077.272727272727,9.398914558308057e-09,0.0024329274286629585,0.3199167577127039,8.235212888791837,-1.349268820022347e-07,0.0060846655267641344,0.34798417036317747,0.3351355383246791,0.8107638767761163,1.1587480471392937,0.6267664044398885,0.38188030517013877,0.6500991738474522,1.2768655782873406,0.5857058182110966,0.30920894916668157,0.6263369556547226,1.2120427738658193,3.6476563992924533,4086.0,0.0066,2444200.0,1864.017828788762,460783.4195333528,0.004045323138311923
"Boise City, ID",111.94517458720823,2609.964359740686,-1.728011551833725e-06,0.008486010334045396,34.20472189747433,1026.3636363636363,-1.7615708054547025e-07,0.003081291010663148,0.30699271896285985,7.911836905060723,-4.281341792883231e-07,0.006200794321415206,0.442491314982689,0.1280188706489262,0.9729710365936399,1.415462351576329,0.1691390799447775,0.29724706114795557,0.7966346795839567,0.9657737595287342,0.5587708581041035,0.24632769422344908,0.64182406727553,1.2005949253796335,3.581831036484697,3427.0,0.0069,401000.0,1767.2558330855388,479768.3557259431,0.0036835606433681593
"Naples, FL",97.39463278216682,2902.609598212411,1.893724702059337e-06,0.0067392982761152066,10.648922419129159,374.54545454545456,4.489355467176891e-08,0.002727317914432138,0.48861695395439614,13.44585869684719,1.9310607109870323e-06,0.00665377018449731,0.38070121888037267,0.633839694249153,0.7378946932003312,1.1185959120807039,0.08126074284004649,0.39806963139763146,0.7166338465431641,0.7978945893832106,0.937293517982325,0.7522807749594609,0.702233613195323,1.639527131177648,3.5560176326415625,5854.0,0.0089,173900.0,2869.016148251941,618052.9860826973,0.004642022954109728
"Sebastian, FL",70.42442195961075,1960.8973369734524,-1.5330487051420235e-07,0.007749148512027332,2.8168938840933135,95.45454545454545,1.2871126859868016e-08,0.001912250575038845,0.4174540840972923,12.741753697716355,4.91891316684014e-07,0.008886546213616486,0.26616995668035803,0.3479463790691292,0.8738025549199073,1.1399725116002655,0.052042220902445736,0.383464002807342,0.5324219196196245,0.5844641405220702,0.7889831408780034,0.4436364184673165,1.0,1.7889831408780035,3.513419793000339,5854.0,0.0089,59000.0,2263.7619047619046,380245.6375560223,0.005953419792826368
"Port St. Lucie, FL",78.12674381051298,2227.803412255868,-5.952376748294031e-07,0.008686846435261469,10.816479772981753,353.6363636363636,-3.830580268394157e-08,0.0024218921043008368,0.40685416981161987,11.196813911632333,8.839851554927553e-07,0.006592102021447777,0.29887851239979674,0.2862249285315901,1.0,1.2988785123997968,0.08188583992663748,0.3601218867848178,0.6476050997179627,0.7294909396446001,0.7668918833424611,0.5277248871651008,0.6940094537397125,1.4609013370821735,3.4892707891265706,5854.0,0.0089,173700.0,2400.2609250221826,402978.5067389559,0.005956300112494683
"Riverside, CA",98.34994642610029,2679.758187909007,3.5803785414974303e-07,0.006532646355298114,105.03709883960208,3374.5454545454545,-4.1842905266059943e-07,0.002359266406894607,0.38668016913948494,10.486009214749426,4.893300903287305e-07,0.005617677999983975,0.38475803838973627,0.4193617942180032,0.7100830240243305,1.0948410624140668,0.4333895675825237,0.18674530708558956,0.633451176678034,1.0668407442605576,0.7248472938901923,0.4430871377062147,0.5640587930810064,1.2889060869711986,3.450587893645823,2598.0,0.0076,1697100.0,2510.6857778919807,581266.9001824938,0.004319333815676979
"Tampa, FL",74.01160076192726,2037.155148693722,7.713629326353585e-08,0.008181313035719917,85.9579234942135,2890.909090909091,9.123571850830198e-08,0.0021812144781545857,0.33569431098344243,9.262067932580315,1.1818696280464115e-06,0.006061210427510041,0.2814032123144906,0.38013037345252915,0.9319642052690483,1.213367417583539,0.3622119281131578,0.4192065806958729,0.5932099753681315,0.9554219034812892,0.6185877815167568,0.5916092094028255,0.6232089481582467,1.2417967296750034,3.410586050739832,5854.0,0.0089,1548500.0,2099.0094408498258,381935.9592665609,0.0054957104454909
"Bend, OR",129.33560135175392,3399.8287219772633,-1.0811034159223635e-06,0.007468149360683051,5.613290737251051,210.9090909090909,-7.78101132682706e-07,0.002746667265992039,0.357915205150927,9.791294726119228,-4.553391753205931e-07,0.005922530719961253,0.5163412207414743,0.2183676931918816,0.8359850722416738,1.352326292983148,0.062474586213006125,0.02269663326369304,0.7210069592460036,0.7834815454590097,0.6648982971015336,0.24049330910729128,0.604714412700419,1.2696127098019527,3.4054205482441104,3016.0,0.0097,95000.0,2262.361242532856,676139.1873691723,0.0033459992924468754
"Miami, FL",81.20435141579257,2485.536581917958,8.644656825542871e-07,0.007567661199294818,106.06067481863508,4387.272727272727,3.5888893657564143e-07,0.0017644061668005775,0.3979484572446109,11.393958436033689,2.1128100763550085e-06,0.005564239273048643,0.311947831208912,0.49009078255400046,0.8493775939449474,1.1613254251538594,0.43720816669313584,0.5412848789763822,0.4990078665590342,0.9362160332521701,0.7483315078004404,0.7912587549935775,0.5569321236670335,1.305263631467474,3.402805089873503,5854.0,0.0089,2956000.0,2748.1186255268763,488836.4229032884,0.00562175504273045
"Dallas, TX",66.09746417087486,1844.8599733139458,-1.1367389945463685e-06,0.007006630613786855,256.9170975753312,8341.818181818182,2.481041574139955e-07,0.0022681632534080863,0.21180153725795317,5.928691368640015,1.6708585969792864e-07,0.004239964854358784,0.24779516753649106,0.21059748790130597,0.7738728660911192,1.0216680336276103,1.0,0.49075525182266294,0.6128611141869335,1.6128611141869333,0.3603831302902935,0.3739786202585397,0.3803248851225104,0.7407080154128038,3.3752371632273475,5602.0,0.018,4273800.0,1755.441551907007,381666.2812746654,0.0045994148239773556
