msa_name,trend_coef_Jobs,average_value_Jobs,pct_coef_Jobs,average_pct_Jobs,trend_coef_Rent,average_value_Rent,pct_coef_Rent,average_pct_Rent,normalized_trend_coef_Jobs,normalized_pct_coef_Jobs,normalized_average_pct_Jobs,Jobs_weight,normalized_trend_coef_Rent,normalized_pct_coef_Rent,normalized_average_pct_Rent,Rent_weight,total_weight,avg_insurance,prop_tax,Jobs,Rent,Price,rent_price_ratio
"Dallas, TX",256.9170975753312,8341.818181818182,2.481041574139955e-07,0.0022681632534080863,0.21180153725795317,5.928691368640015,1.6708585969792864e-07,0.004239964854358784,1.0,0.49075525182266294,0.6128611141869335,2.0,0.3603831302902935,0.3739786202585397,0.3803248851225104,0.3603831302902935,2.3603831302902933,5602.0,0.018,4273800.0,1755.441551907007,381666.2812746654,0.0045994148239773556
"Phoenix, AZ",156.87178464322685,5077.272727272727,9.398914558308057e-09,0.0024329274286629585,0.3199167577127039,8.235212888791837,-1.349268820022347e-07,0.0060846655267641344,0.6267664044398885,0.38188030517013877,0.6500991738474522,1.253532808879777,0.5857058182110966,0.30920894916668157,0.6263369556547226,0.5857058182110966,1.8392386270908736,4086.0,0.0066,2444200.0,1864.017828788762,460783.4195333528,0.004045323138311923
"Atlanta, GA",138.3279284013837,4861.818181818182,-1.1794010584231878e-07,0.001835613954820056,0.29316713527019234,7.826275374994767,-3.171076305422202e-08,0.005435413630877769,0.5575858507702728,0.32380018557559503,0.515101412710442,1.1151717015405456,0.5299569902083276,0.33134468436118536,0.5397517412656038,0.5299569902083276,1.6451286917488732,4006.0,0.0092,3078000.0,1919.1852151724595,385770.9266957661,0.0049749348184706605
"Miami, FL",106.06067481863508,4387.272727272727,3.5888893657564143e-07,0.0017644061668005775,0.3979484572446109,11.393958436033689,2.1128100763550085e-06,0.005564239273048643,0.43720816669313584,0.5412848789763822,0.4990078665590342,0.8744163333862717,0.7483315078004404,0.7912587549935775,0.5569321236670335,0.7483315078004404,1.6227478411867122,5854.0,0.0089,2956000.0,2748.1186255268763,488836.4229032884,0.00562175504273045
"Riverside, CA",105.03709883960208,3374.5454545454545,-4.1842905266059943e-07,0.002359266406894607,0.38668016913948494,10.486009214749426,4.893300903287305e-07,0.005617677999983975,0.4333895675825237,0.18674530708558956,0.633451176678034,0.8667791351650475,0.7248472938901923,0.4430871377062147,0.5640587930810064,0.7248472938901923,1.5916264290552398,2598.0,0.0076,1697100.0,2510.6857778919807,581266.9001824938,0.004319333815676979
"Tampa, FL",85.9579234942135,2890.909090909091,9.123571850830198e-08,0.0021812144781545857,0.33569431098344243,9.262067932580315,1.1818696280464115e-06,0.006061210427510041,0.3622119281131578,0.4192065806958729,0.5932099753681315,0.7244238562263156,0.6185877815167568,0.5916092094028255,0.6232089481582467,0.6185877815167568,1.3430116377430723,5854.0,0.0089,1548500.0,2099.0094408498258,381935.9592665609,0.0054957104454909
"Austin, TX",119.4646887639067,3710.0,3.4990934159057337e-07,0.0033554170646944094,0.20259439922481012,5.027437416422276,9.615484442174561e-08,0.0034711874934281496,0.48721379087591754,0.5371892298265576,0.8585894239252443,0.9744275817518351,0.341194554611868,0.35876675037587424,0.27779957401378413,0.341194554611868,1.315622136363703,5602.0,0.018,1352600.0,1752.9620922590632,470662.3986813356,0.0037244574819878806
"New York, NY",106.25438849568049,7990.0,3.6786669973306833e-07,0.001025268201003067,0.23951684734455866,9.013228451273,1.5858061227323685e-06,0.003383441303965279,0.4379308437489005,0.5453796926182206,0.3319566029870502,0.875861687497801,0.4181445457413785,0.6782374548057358,0.26609760953034023,0.4181445457413785,1.2940062332391795,3276.0,0.0172,10177900.0,3205.572268578418,654171.5310133587,0.004900201425171707
"Orlando, FL",83.07922491635357,3183.6363636363635,8.256466709740644e-08,0.002596221125470912,0.28988318025101034,8.052528467705747,5.612690037460334e-07,0.005262237798448022,0.3514725242444568,0.415251660190196,0.6870048932765392,0.7029450484889136,0.523112906934754,0.45851516148598703,0.516656750441629,0.523112906934754,1.2260579554236677,5854.0,0.0089,1482300.0,2023.827542693077,397989.78368413466,0.005085124356607333
"Los Angeles, CA",68.42351094447231,4737.272727272727,-1.2688678164766976e-07,0.0009310469166174224,0.32014972192422575,9.834449089508588,-1.554022183314099e-07,0.00421436942608705,0.2967972510016411,0.3197195510684849,0.3106618172497023,0.5935945020032822,0.5861913384006561,0.3048178072828319,0.37691144011244415,0.5861913384006561,1.1797858404039383,2598.0,0.0076,6273400.0,2924.553381752241,961667.108975696,0.003041128634281026
