msa_name,trend_coef_Jobs,average_value_Jobs,pct_coef_Jobs,average_pct_Jobs,normalized_trend_coef_Jobs,normalized_pct_coef_Jobs,normalized_average_pct_Jobs,Jobs_weight,total_weight,avg_insurance,prop_tax,Jobs,Median Rent,Median Price,rent_price_ratio
"Dallas, TX",256.9170975753312,8341.818181818182,2.481041574139955e-07,0.0022681632534080863,1.0,0.4635833471091836,0.655689265897872,1.0,1.0,5602.0,0.018,4273800.0,1755.441551907007,381666.2812746654,0.0045994148239773556
"Phoenix, AZ",156.87178464322685,5077.272727272727,9.398914558308057e-09,0.0024329274286629585,0.6267664044398885,0.40782351253503385,0.6845643740437003,0.6267664044398885,0.6267664044398885,4086.0,0.0066,2444200.0,1864.017828788762,460783.4195333528,0.004045323138311923
"Atlanta, GA",138.3279284013837,4861.818181818182,-1.1794010584231878e-07,0.001835613954820056,0.5575858507702728,0.37807802966490733,0.5798845118862005,0.5575858507702728,0.5575858507702728,4006.0,0.0092,3078000.0,1919.1852151724595,385770.9266957661,0.0049749348184706605
"Austin, TX",119.4646887639067,3710.0,3.4990934159057337e-07,0.0033554170646944094,0.48721379087591754,0.4873643087695387,0.8462317265650195,0.48721379087591754,0.48721379087591754,5602.0,0.018,1352600.0,1752.9620922590632,470662.3986813356,0.0037244574819878806
"Houston, TX",114.1001564936033,3933.6363636363635,1.0121218801917712e-06,0.0012915315463498738,0.4672006227517657,0.6420524134948045,0.4845334541667851,0.4672006227517657,0.4672006227517657,5602.0,0.018,3430300.0,1664.1450377178244,310906.13626232464,0.005352564145963703
"New York, NY",106.25438849568049,7990.0,3.6786669973306833e-07,0.001025268201003067,0.4379308437489005,0.49155901897965176,0.43787050161495783,0.4379308437489005,0.4379308437489005,3276.0,0.0172,10177900.0,3205.572268578418,654171.5310133587,0.004900201425171707
"Miami, FL",106.06067481863508,4387.272727272727,3.5888893657564143e-07,0.0017644061668005775,0.43720816669313584,0.4894618778255019,0.5674052664634195,0.43720816669313584,0.43720816669313584,5854.0,0.0089,2956000.0,2748.1186255268763,488836.4229032884,0.00562175504273045
"Riverside, CA",105.03709883960208,3374.5454545454545,-4.1842905266059943e-07,0.002359266406894607,0.4333895675825237,0.30788596448233646,0.6716551966305692,0.4333895675825237,0.4333895675825237,2598.0,0.0076,1697100.0,2510.6857778919807,581266.9001824938,0.004319333815676979
"Tampa, FL",85.9579234942135,2890.909090909091,9.123571850830198e-08,0.0021812144781545857,0.3622119281131578,0.42694000363400625,0.6404513946512347,0.3622119281131578,0.3622119281131578,5854.0,0.0089,1548500.0,2099.0094408498258,381935.9592665609,0.0054957104454909
"Orlando, FL",83.07922491635357,3183.6363636363635,8.256466709740644e-08,0.002596221125470912,0.3514725242444568,0.42491450814646975,0.7131817791778441,0.3514725242444568,0.3514725242444568,5854.0,0.0089,1482300.0,2023.827542693077,397989.78368413466,0.005085124356607333
"Nashville, TN",74.4290037263343,2401.818181818182,-1.7650323127516545e-07,0.0024465886518417654,0.3192016155679832,0.3643981031278312,0.6869585188636051,0.3192016155679832,0.3192016155679832,4873.0,0.0071,1163000.0,1904.4590921551917,442659.1493780543,0.004302314986216817
"Charlotte, NC",72.83060444302997,2461.818181818182,-2.0014954351989867e-07,0.002097838119886929,0.3132385544893173,0.3588744939968322,0.625839593523594,0.3132385544893173,0.3132385544893173,4375.0,0.0084,1363200.0,1771.2063150325885,383795.9124220579,0.004614969200309784
"Los Angeles, CA",68.42351094447231,4737.272727272727,-1.2688678164766976e-07,0.0009310469166174224,0.2967972510016411,0.3759881502934831,0.421358114913991,0.2967972510016411,0.2967972510016411,2598.0,0.0076,6273400.0,2924.553381752241,961667.108975696,0.003041128634281026
"Denver, CO",67.48897518236149,2261.818181818182,-1.6632834989020696e-07,0.0015969302088772886,0.2933108293747844,0.3667748825234136,0.5380549153365404,0.2933108293747844,0.2933108293747844,5542.0,0.0051,1627100.0,2026.856121069835,597619.1690970184,0.0033915513856965854
"Seattle, WA",62.47442335283947,2580.909090909091,-3.4248436032604947e-07,0.0013616560366090016,0.27460331420388184,0.3256261005208203,0.4968228504313017,0.27460331420388184,0.27460331420388184,2801.0,0.0098,2146400.0,2193.73452344798,752995.190225948,0.002913344669292928
"Philadelphia, PA",60.17233195235576,2829.090909090909,3.679232313233736e-07,0.0011151312884783366,0.26601502730138943,0.49157222435413755,0.45361910937603545,0.26601502730138943,0.26601502730138943,2902.0,0.0158,3104400.0,1811.753287977249,359740.73564716167,0.0050362750404620285
"Las Vegas, NV",55.47021768720873,2224.5454545454545,7.546262778338372e-07,0.0026101435115560017,0.24847310592116106,0.5819032855607785,0.7156216930925835,0.24847310592116106,0.24847310592116106,2707.0,0.006,1149800.0,1772.931503609456,424147.21291320096,0.004179990931526586
"San Antonio, TX",49.24708337950655,1863.6363636363637,2.913446993739068e-07,0.0018191039035381096,0.22525679797784484,0.47368402792262887,0.5769911067177412,0.22525679797784484,0.22525679797784484,5602.0,0.018,1179700.0,1460.6926833326845,290807.2755813603,0.005022889060848207
"Raleigh, NC",48.022469914711735,1580.909090909091,2.42136177830447e-07,0.0025237646160858125,0.22068819927750508,0.46218926983488706,0.7004836939227965,0.22068819927750508,0.22068819927750508,4375.0,0.0084,740500.0,1753.1061993046617,445409.0297149904,0.003935946696964012
"Sacramento, CA",45.89053483470843,1729.090909090909,-9.94307188129875e-08,0.0018334422119667564,0.2127347052847343,0.38240168986808265,0.5795039114938098,0.2127347052847343,0.2127347052847343,2598.0,0.0076,1095100.0,2257.290357841637,584288.8717138467,0.0038633122537838384
"Salt Lake City, UT",45.77566626435933,1469.090909090909,-1.4581137507988475e-07,0.002024234051573029,0.21230617137073332,0.3715675008492591,0.6129403972677991,0.21230617137073332,0.21230617137073332,2876.0,0.0063,826800.0,1693.4366801437557,548422.7365611434,0.0030878309144554495
"Jacksonville, FL",45.29224764189323,1487.2727272727273,-1.1103256805879161e-07,0.0021551465466767895,0.21050270786668906,0.37969158100343836,0.6358829601636099,0.21050270786668906,0.21050270786668906,5854.0,0.0089,799900.0,1730.729818696512,360543.4328490816,0.00480033655035667
"San Francisco, CA",44.32871293960535,2344.5454545454545,-5.817203267245849e-07,0.0011301917031955528,0.20690810147442454,0.269742292729326,0.4562584640962466,0.20690810147442454,0.20690810147442454,2598.0,0.0076,2472300.0,3023.5909346900467,1187716.3937638835,0.0025457179429074486
"San Diego, CA",41.37253131876002,1753.6363636363637,-1.1614164191949144e-08,0.0013491832169169988,0.19587963584080104,0.402915007883059,0.4946369746671505,0.19587963584080104,0.19587963584080104,2598.0,0.0076,1560300.0,2971.155757070846,957093.773617926,0.0031043517771926683
"Indianapolis, IN",40.65249939181109,1568.1818181818182,2.994255790298821e-07,0.0015308743293448062,0.19319345197933813,0.4755716635163859,0.5264785477055446,0.19319345197933813,0.19319345197933813,4451.0,0.0085,1179500.0,1529.352250592349,280788.7054973604,0.0054466302263953634
"Boise City, ID",34.20472189747433,1026.3636363636363,-1.7615708054547025e-07,0.003081291010663148,0.1691390799447775,0.36447896145835895,0.7981908254195034,0.1691390799447775,0.1691390799447775,3427.0,0.0069,401000.0,1767.2558330855388,479768.3557259431,0.0036835606433681593
"Columbus, OH",30.66919780592396,1165.4545454545455,-8.147366722673313e-08,0.001168575070451689,0.15594929293522242,0.38659632846885417,0.4629851926390716,0.15594929293522242,0.15594929293522242,3265.0,0.0156,1159000.0,1491.469257748912,314037.8939582072,0.004749328939097393
"Boston, MA",29.353154708564766,1525.4545454545455,-2.8686553220297534e-08,0.000978281379876615,0.1510396026884361,0.3989270201178228,0.4296360080464607,0.1510396026884361,0.1510396026884361,2746.0,0.0123,1931100.0,3079.325954400825,694704.9146308989,0.004432566820168374
"Portland, OR",28.887317399634387,1185.4545454545455,-5.544777757029499e-07,0.0011180787394517596,0.1493017288324552,0.27610595747406125,0.4541356534941999,0.1493017288324552,0.1493017288324552,3016.0,0.0097,1231700.0,1809.646129511547,553844.7627059835,0.0032674248297843416
"Provo, UT",28.74521061640248,869.0909090909091,-8.278628595243027e-07,0.0033435382824929367,0.14877157880238714,0.2122451605072572,0.8441499565432434,0.14877157880238714,0.14877157880238714,2876.0,0.0063,314400.0,1768.9060218748973,534679.7351486211,0.0033083468581116262
"San Jose, CA",26.144549478123526,1202.7272727272727,-5.142721535373114e-07,0.0011842021915166316,0.13906943405391659,0.28549770276665254,0.46572386328795606,0.13906943405391659,0.13906943405391659,2598.0,0.0076,1162200.0,3277.120039914307,1633092.063824156,0.0020066964456617264
"Charleston, SC",23.13891377158888,874.5454545454545,4.483590361028456e-07,0.0024781682365794546,0.12785647275851744,0.5103614520840601,0.6924928768215202,0.12785647275851744,0.12785647275851744,4319.0,0.0057,424600.0,2072.119631688651,436015.8899348459,0.0047523947624897095
"Cincinnati, OH",22.416610334606347,960.9090909090909,1.1061898595128395e-07,0.00099183117526889,0.1251618146983905,0.43146779604106533,0.432010625020694,0.1251618146983905,0.1251618146983905,3265.0,0.0156,1157900.0,1498.5578929957326,283742.1878117698,0.0052814067042785086
"Lakeland, FL",22.064434067760725,650.0,2.636871289956376e-09,0.0027746955021153348,0.12384796989653622,0.40624394767288086,0.7444596156304293,0.12384796989653622,0.12384796989653622,5854.0,0.0089,276200.0,1910.046259612916,316290.91368588567,0.0060388907077799205
"Fayetteville, AR",21.203890578171873,712.7272727272727,-1.3020001946223173e-07,0.0026950190704017013,0.12063758720751348,0.3752142016770445,0.7304962308178874,0.12063758720751348,0.12063758720751348,6099.0,0.0062,311600.0,1529.0849886735466,337549.0596734301,0.004529963704099476
"Kansas City, MO",21.045456796765887,988.1818181818181,1.1451890619073725e-07,0.0009952749883724733,0.12004652693532988,0.4323787894687873,0.432614157163808,0.12004652693532988,0.12004652693532988,4956.0,0.0097,1144400.0,1429.0833652553492,304804.6645647628,0.004688521966341849
"Oklahoma City, OK",19.64743776791477,725.4545454545455,8.749103880118213e-07,0.001155869516692699,0.11483101354937378,0.6100007919464175,0.4607585299663398,0.11483101354937378,0.11483101354937378,8426.0,0.009,709700.0,1340.8765303215455,235819.3867128411,0.005686031793282289
"Stockton, CA",18.84420033252454,593.6363636363636,-1.449035384584945e-07,0.0025008394394621064,0.11183441943303937,0.37177956497999826,0.6964660307794115,0.11183441943303937,0.11183441943303937,2598.0,0.0076,279600.0,2358.7799876329696,542582.8832868516,0.004347317359781021
"Fresno, CA",18.35137154009765,678.1818181818181,-5.7646051159406974e-08,0.0019911669090443263,0.10999584992086375,0.39216228887389526,0.6071453431238215,0.10999584992086375,0.10999584992086375,2598.0,0.0076,393600.0,1933.58343079922,397214.2287506995,0.004867860441154489
"Cape Coral, FL",18.1539993739398,612.7272727272727,-3.0276200761426635e-07,0.0024325527834761383,0.10925952433918883,0.33490495753128025,0.6844987170507949,0.10925952433918883,0.10925952433918883,5854.0,0.0089,307800.0,2183.705910664381,399339.0742027342,0.005468300128215776
"North Port, FL",17.82531053075127,646.3636363636364,1.7086053460812142e-07,0.0022385591909846268,0.10803330278849006,0.4455397902185314,0.6505011204608501,0.10803330278849006,0.10803330278849006,5854.0,0.0089,346400.0,2419.1712082560293,457647.8349762934,0.005286097788229119
"Colorado Springs, CO",17.64714347707291,591.8181818181819,2.8627022969830883e-08,0.0020732344900205057,0.10736862467308596,0.4123150609039506,0.6215277795502353,0.10736862467308596,0.10736862467308596,5542.0,0.0051,331200.0,1832.3568612111148,463218.95509180543,0.0039557035416393094
"Huntsville, AL",17.42268950920958,550.0,4.4289379280560314e-07,0.0022767535644842725,0.10653126648999726,0.5090848104044889,0.6571947276340018,0.10653126648999726,0.10653126648999726,5144.0,0.0041,280400.0,1467.9633944586967,309105.9223148174,0.004749062662615727
"Reno, NV",16.935473186551498,579.0909090909091,-5.725655392145414e-07,0.0025790748925750033,0.1047136351128566,0.2718807855039909,0.7101768824616915,0.1047136351128566,0.1047136351128566,2707.0,0.006,270100.0,1873.8607412794845,545404.066398491,0.003435729318362612
"Greenville, SC",16.933942466326222,628.1818181818181,2.620470891712884e-07,0.001571739459923343,0.1047079245383506,0.4668403160762848,0.5336402080787618,0.1047079245383506,0.1047079245383506,4319.0,0.0057,465900.0,1570.9723763912125,294819.8955764363,0.005328583314635614
"Ogden, UT",16.877446940192517,564.5454545454545,-5.403186922179476e-08,0.0021634959263308598,0.10449715975853271,0.3930065358814231,0.6373461983953973,0.10449715975853271,0.10449715975853271,2876.0,0.0063,298500.0,1696.335344394168,496589.0407552933,0.003415974186248866
"Palm Bay, FL",16.171683255268533,501.8181818181818,-2.53007145962979e-07,0.0022950969917100218,0.10186420564984103,0.34652733675406405,0.6604094340110968,0.10186420564984103,0.10186420564984103,5854.0,0.0089,255800.0,2020.6079150506584,359113.9712520665,0.005626648019306297
"Knoxville, TN",16.018913473142412,514.5454545454545,3.138470910861558e-07,0.0013172066023008082,0.10129427575103045,0.4789404254126341,0.4890330367737845,0.10129427575103045,0.10129427575103045,4873.0,0.0071,439100.0,1777.676192019433,342592.3016640567,0.005188897074992094
"McAllen, TX",15.775563269041257,490.90909090909093,3.009821825061216e-07,0.0018739740998295986,0.10038642240942912,0.4759352749364549,0.5866071707040339,0.10038642240942912,0.10038642240942912,5602.0,0.018,299500.0,1164.0576939203354,187193.06789327427,0.00621848718556185
"Chicago, IL",15.744459351876154,2263.6363636363635,1.352568788169083e-07,0.0005808467235372407,0.10027038472111269,0.43722303130111945,0.3599851348214563,0.10027038472111269,0.10027038472111269,4390.0,0.0227,4793600.0,2038.100922085903,319321.70603050874,0.006382594366733022
"Richmond, VA",15.311589675644983,769.0909090909091,2.333865989748203e-07,0.0011953882517595931,0.09865550141540155,0.46014543089885585,0.46768423300268086,0.09865550141540155,0.09865550141540155,3430.0,0.0082,724100.0,1630.087015609046,367636.83344252687,0.0044339600043472776
"St. Louis, MO",14.425757105242456,901.8181818181819,2.2726746360513988e-07,0.0007341741945023713,0.09535077413107622,0.4587160447158449,0.38685594759975506,0.09535077413107622,0.09535077413107622,4956.0,0.0097,1444200.0,1358.5728999186867,252024.9599604899,0.005390628373204269
"Durham, NC",13.288517005094866,455.45454545454544,3.043262667393675e-07,0.0014438818752078924,0.09110813447956867,0.4767164290553048,0.5112330216851658,0.09110813447956867,0.09110813447956867,4375.0,0.0084,351500.0,1735.7898789638784,414599.8794218342,0.004186662768412918
"Birmingham, AL",12.698508934246263,487.27272727272674,2.763776207128883e-07,0.0009561116330842041,0.08890702353055546,0.4701878255761173,0.425750734835787,0.08890702353055546,0.08890702353055546,5144.0,0.0041,572300.0,1392.9871576581866,252946.3044628188,0.005507046883394753
"Des Moines, IA",12.101995421885363,483.6363636363636,1.408353750053829e-07,0.0013792313999149526,0.0866816430854991,0.4385261280447043,0.4999029527373796,0.0866816430854991,0.0866816430854991,4388.0,0.0157,398900.0,1238.0522670080595,279943.6890450187,0.0044225046516728735
"Louisville/Jefferson County, KY",12.033327924492433,569.0909090909091,9.257484671157482e-08,0.0009765677946831607,0.08642546899598956,0.42725281438836915,0.4293357003023679,0.08642546899598956,0.08642546899598956,5182.0,0.0086,698800.0,,,
"Grand Rapids, MI",11.884871898578655,584.5454545454545,-1.8724775437595953e-08,0.0013425047363308487,0.08587163219234072,0.4012540200386569,0.4934665633876561,0.08587163219234072,0.08587163219234072,3564.0,0.0154,585700.0,1598.2777921109964,325159.0774157741,0.004915371899851076
"Minneapolis, MN",11.684490104610505,1175.4545454545455,4.09756519867174e-09,0.0007267618665185206,0.08512407875624647,0.40658515530510153,0.3855569287334575,0.08512407875624647,0.08512407875624647,4308.0,0.0112,1993500.0,1655.4321563696042,375419.2048180222,0.004409556397553091
"El Paso, TX",11.614058623937725,443.6363636363636,1.733496373746376e-07,0.0014622472860506997,0.08486132387046823,0.44612122679210053,0.514451580716025,0.08486132387046823,0.08486132387046823,5602.0,0.018,346400.0,1516.1125549613787,218211.12793916275,0.00694791585232111
