msa_name,2023_population
"Lubbock, TX",360104.0
"Lynchburg, VA",264590.0
"Macon, GA",236074.0
"Madison, WI",694345.0
"Manchester, NH",427354.0
"Manhattan, KS",132831.0
"Mankato, MN",104248.0
"Mansfield, OH",125064.0
"McAllen, TX",898471.0
"Medford, OR",220768.0
"Memphis, TN",1335674.0
"Merced, CA",291920.0
"Miami, FL",6183199.0
"Michigan City, IN",111706.0
"Midland, MI",84039.0
"Midland, TX",182324.0
"Milwaukee, WI",1560424.0
"Minneapolis, MN",3712020.0
"Minot, ND",75742.0
"Missoula, MT",126939.0
"Mobile, AL",411640.0
"Modesto, CA",551430.0
"Monroe, LA",221885.0
"Monroe, MI",155045.0
"Montgomery, AL",385480.0
"Morgantown, WV",141817.0
"Morristown, TN",124054.0
"Mount Vernon, WA",131417.0
"Muncie, IN",112321.0
"Muskegon, MI",176564.0
"Myrtle Beach, SC",397478.0
"Napa, CA",133216.0
"Naples, FL",404310.0
"Nashville, TN",2102573.0
"New Haven, CT",568158.0
"New Orleans, LA",962165.0
"New York, NY",19498249.0
"Niles, MI",152261.0
"North Port, FL",910108.0
"Norwich, CT",279634.0
"Ocala, FL",409959.0
"Odessa, TX",164494.0
"Ogden, UT",658133.0
"Oklahoma City, OK",1477926.0
"Olympia, WA",299003.0
"Omaha, NE",983969.0
"Orlando, FL",2817933.0
"Oshkosh, WI",171735.0
"Owensboro, KY",112512.0
"Oxnard, CA",829590.0
"Paducah, KY",102267.0
"Palm Bay, FL",643979.0
"Panama City, FL",216371.0
"Parkersburg, WV",88052.0
"Pensacola, FL",530090.0
"Peoria, IL",362240.0
"Philadelphia, PA",6246160.0
"Phoenix, AZ",5070110.0
"Pinehurst, NC",106898.0
"Pittsburgh, PA",2422725.0
"Pittsfield, MA",126818.0
"Pocatello, ID",90400.0
"Portland, ME",566329.0
"Portland, OR",2508050.0
"Port St. Lucie, FL",536901.0
"Prescott Valley, AZ",249081.0
"Providence, RI",1677803.0
"Provo, UT",732197.0
"Pueblo, CO",169422.0
"Punta Gorda, FL",206134.0
"Racine, WI",196613.0
"Raleigh, NC",1509231.0
"Rapid City, SD",155974.0
"Reading, PA",432821.0
"Redding, CA",180366.0
"Reno, NV",564782.0
"Richmond, VA",1349732.0
"Riverside, CA",4688053.0
"Roanoke, VA",314314.0
"Rochester, MN",229077.0
"Rochester, NY",1052087.0
"Rockford, IL",334124.0
"Rocky Mount, NC",145383.0
"Rome, GA",100113.0
"Sacramento, CA",2420608.0
"Saginaw, MI",187782.0
"St. Cloud, MN",202577.0
"St. George, UT",202452.0
"St. Joseph, MO",118475.0
