msa_name,2023_population
"Hermitage, PA",108503.0
"Hillsdale, MI",45587.0
"Hilo, HI",207615.0
"Hobbs, NM",72101.0
"Holland, MI",121939.0
"Hood River, OR",23745.0
"Houghton, MI",39771.0
"Hudson, NY",60470.0
"Huntingdon, PA",43514.0
"Huntington, IN",36781.0
"Huntsville, TX",81268.0
"Huron, SD",19591.0
"Hutchinson, KS",61497.0
"Hutchinson, MN",36785.0
"Indiana, PA",83094.0
"Iron Mountain, MI",30664.0
"Jackson, WY",35781.0
"Jacksonville, IL",36850.0
"Jacksonville, TX",52217.0
"Jamestown, ND",21392.0
"Jamestown, NY",124891.0
"Jasper, IN",43546.0
"Jefferson, GA",88615.0
"Jesup, GA",31373.0
"Juneau, AK",31555.0
"Kalispell, MT",113679.0
"Kapaa, HI",73851.0
"Kearney, NE",57467.0
"Keene, NH",77703.0
"Kendallville, IN",47430.0
"Kennett, MO",27032.0
"Kerrville, TX",53915.0
"Ketchikan, AK",13738.0
"Key West, FL",80614.0
"Kill Devil Hills, NC",38110.0
"Kingsland, GA",58118.0
"Kingsville, TX",30069.0
"Kinston, NC",54895.0
"Kirksville, MO",29175.0
"Klamath Falls, OR",70003.0
"Laconia, NH",65027.0
"La Grande, OR",25944.0
"LaGrange, GA",104821.0
"Lake City, FL",73063.0
"Lake of the Woods, VA",38574.0
"Laramie, WY",38257.0
"Las Vegas, NM",30791.0
"Laurel, MS",82263.0
"Laurinburg, NC",34376.0
"Lawrenceburg, TN",46114.0
"Lebanon, MO",36680.0
"Lebanon, NH",225159.0
"Le Mars, IA",25722.0
"Lewisburg, PA",42042.0
"Lewisburg, TN",36961.0
"Lewistown, PA",45922.0
"Lexington, NE",25932.0
"Liberal, KS",21067.0
"Lincoln, IL",27590.0
"Lock Haven, PA",37607.0
"Logansport, IN",37666.0
"Los Alamos, NM",19444.0
"Ludington, MI",29159.0
"Lufkin, TX",87319.0
"Lumberton, NC",117365.0
"Macomb, IL",26839.0
"Madison, IN",33056.0
"Madisonville, KY",44929.0
"Magnolia, AR",22150.0
"Malvern, AR",33258.0
"Manitowoc, WI",81331.0
"Marietta, OH",58577.0
"Marinette, WI",65051.0
"Marion, IN",66200.0
"Marion, NC",44893.0
"Marion, OH",64851.0
"Marion, IL",66706.0
"Marquette, MI",66999.0
"Marshall, MN",25427.0
"Marshall, MO",23049.0
"Marshalltown, IA",40014.0
"Martin, TN",33084.0
"Martinsville, VA",63465.0
"Maryville, MO",20695.0
"Mason City, IA",49703.0
"Massena, NY",106940.0
"Mayfield, KY",36461.0
"McAlester, OK",43479.0
"McComb, MS",53257.0
"McMinnville, TN",42638.0
"McPherson, KS",30091.0
"Meadville, PA",82001.0
"Menomonie, WI",45794.0
"Meridian, MS",85755.0
"Mexico, MO",24394.0
"Miami, OK",30287.0
"Middlesborough, KY",23317.0
"Milledgeville, GA",43396.0
"Minden, LA",35238.0
"Mineral Wells, TX",29747.0
"Mitchell, SD",25792.0
"Moberly, MO",24109.0
"Monticello, IN",24917.0
"Monticello, NY",79920.0
"Montrose, CO",44156.0
"Morehead City, NC",69615.0
"Morgan City, LA",47055.0
"Moscow, ID",41301.0
"Moses Lake, WA",102678.0
"Moultrie, GA",46167.0
"Mountain Home, AR",42875.0
"Mountain Home, ID",29724.0
"Mount Airy, NC",71462.0
"Mount Pleasant, MI",64118.0
"Mount Pleasant, TX",56423.0
"Mount Sterling, KY",47788.0
"Mount Vernon, IL",36320.0
"Mount Vernon, OH",63320.0
"Murray, KY",38280.0
"Murrells Inlet, SC",65731.0
"Muscatine, IA",42218.0
"Muskogee, OK",66677.0
"Nacogdoches, TX",65375.0
"Nantucket, MA",14444.0
"Natchez, MS",53375.0
"Natchitoches, LA",36291.0
"New Bern, NC",124215.0
"Newberry, SC",38825.0
"New Castle, IN",48929.0
"New Iberia, LA",67659.0
"New Philadelphia, OH",91874.0
"Newport, OR",50821.0
"Newport, TN",37404.0
"New Ulm, MN",25628.0
"Nogales, AZ",49158.0
"Norfolk, NE",48782.0
"North Platte, NE",34020.0
"North Wilkesboro, NC",66013.0
"Norwalk, OH",58199.0
"Oak Harbor, WA",86267.0
"Ocean Pines, MD",54171.0
"Oil City, PA",49431.0
"Okeechobee, FL",41427.0
"Olean, NY",75600.0
"Oneonta, NY",60126.0
"Ontario, OR",59323.0
"Opelousas, LA",81464.0
"Orangeburg, SC",82820.0
"Oskaloosa, IA",21874.0
"Othello, WA",20820.0
"Ottawa, IL",146599.0
"Ottawa, KS",26125.0
"Ottumwa, IA",35166.0
"Owatonna, MN",37421.0
"Owosso, MI",68025.0
"Oxford, MS",70853.0
"Ozark, AL",49871.0
"Pahrump, NV",55720.0
"Palatka, FL",75955.0
"Palestine, TX",57736.0
"Pampa, TX",21756.0
"Paragould, AR",46743.0
"Paris, TN",32554.0
"Paris, TX",62805.0
"Payson, AZ",54003.0
"Pella, IA",33770.0
"Peru, IN",35402.0
"Petoskey, MI",34123.0
"Picayune, MS",57978.0
"Pierre, SD",20667.0
"Pikeville, KY",90396.0
"Pine Bluff, AR",71039.0
"Pittsburg, KS",38764.0
"Plainview, TX",36851.0
"Platteville, WI",51409.0
"Plattsburgh, NY",78115.0
"Plymouth, IN",46352.0
"Ponca City, OK",43641.0
"Pontiac, IL",35320.0
"Poplar Bluff, MO",41948.0
"Port Angeles, WA",77616.0
"Port Lavaca, TX",19696.0
"Portsmouth, OH",71969.0
"Port Townsend, WA",33714.0
"Pottsville, PA",143786.0
"Price, UT",20609.0
"Pullman, WA",48012.0
"Putnam, CT",96692.0
"Quincy, IL",74259.0
"Raymondville, TX",20037.0
"Red Bluff, CA",64896.0
"Red Wing, MN",48035.0
"Rexburg, ID",68743.0
"Rice Lake, WI",46833.0
"Richmond, IN",66127.0
"Richmond, KY",126861.0
"Rifle, CO",79347.0
"Rio Grande City, TX",65934.0
"Riverton, WY",39815.0
"Roanoke Rapids, NC",64013.0
"Rochelle, IL",51265.0
"Rockingham, NC",42324.0
"Rock Springs, WY",41249.0
"Rolla, MO",45284.0
"Roseburg, OR",112435.0
"Roswell, NM",63561.0
"Ruidoso, NM",20029.0
"Russellville, AL",31802.0
"Russellville, AR",84637.0
"Ruston, LA",47962.0
"Rutland, VT",60271.0
"Safford, AZ",39525.0
"St. Marys, PA",30198.0
"Salem, OH",100182.0
"Salina, KS",58916.0
"Sandpoint, ID",52547.0
"Sanford, NC",67059.0
"Sault Ste. Marie, MI",36264.0
"Sayre, PA",59695.0
"Scottsbluff, NE",36373.0
"Scottsboro, AL",53467.0
"Seaford, DE",263509.0
"Searcy, AR",78452.0
"Sedalia, MO",43530.0
"Selinsgrove, PA",39717.0
"Selma, AL",36165.0
"Seneca, SC",81221.0
"Seneca Falls, NY",32349.0
"Sevierville, TN",99415.0
"Seymour, IN",46460.0
"Shawano, WI",45335.0
"Shawnee, OK",73791.0
